,Sentence,Entity,Sentiment
1425,The only issue I have is the contact number on the web (Go Compare 0845) is out of date therefore wasted time and money listening to one voice message for the new number and had to redial.,time,negative
1426,also when i tried to use the link to logon the website using forgot password the response is \ not recognised\ when i tried to use forgot both \,response,negative
1427,the usual problems in the past have been the insurance price chosen on the comparison site is not normally what is stated when you go to their sites eg add on costs not quoted until you get on the site.,site,negative
1428,Only problem afterwards was that I tried to register myself on my account online and it just would not accept it so I had to phone up to request help.,phone,negative
1429,\nAppears to be good comprehsnesive cover and is from a renowned supplier.,supplier,positive
1430,The forms plus explanation of what was required were very user friendly and the option to contact a customer representative was always there.,contact,positive
1431,Very pleased only advice I'll give is get the work done rather than taking a cheque the contracting company they used for our repairs were fantastic.,cheque,positive
1432,Easy to use website and obtain quote and subsequently buy the insurance,insurance,positive
1433,They gave me the quote over the phone instead as they already had my details all that was needed was to clarify the information they currently held therefore eliminating any frustration I usually get doing it online.,information,positive
1434,also to default the payment to continuous payment authority seems a bit sharp - others don't do this.,payment,negative
1435,This is the principle reason I choose them over any other insurance company although I find their rates to be extremely competitive too.,rates,positive
1436,This wasted my time in filling in details online.,time,negative
1437,No messing no silly prices all done in minutes online!!!,prices,negative
1438,easy to use website and very detailed with the coverage which i why i went with axa its not all down to the price,price,negative
1439,On line access brilliant just a shame I had to have a new policy on line quote was so much lower and to change existing one was going to cost me more so having to do that was a little annoying.,cost,negative
1440,The service I received off axa insurance was the best I've had in a long time.,axa,positive
1441,It takes ages because different companies categorise things slightly differently so its hard to switch but it I dont I know by experience that by next year or in a couple of years time your quote will be high and I will have to find another one.,quote,negative
1442,I was put through to Mark Spechley who was extremely helpful and explained and guided me through the whole process.,process,positive
1443,Best price out of all the comparison sites some prices were rediculesley high as I have never claimed for more than 20years,price,positive
1444,I was waiting for docs in post as advised so have only today found them in my spam folder in my email!!,docs,negative
1445,However when it came to putting in my card details it would not accept the expiry date so I had to phone anyway and spend the next 15-20 mins going through everything I had already done online .,card details,negative
1446,there were cheaper quotes online but they didn't give the same cover needed for my holiday and there wasn't a big difference in the price either.,price,negative
1447,I think the member of axa who dealt with my call was called Jordanhe was very professional knowledgeable and answered all my questions clearly\nI am happy with the manner he explained to me.,axa,positive
1448,Very very helpful customer service and treat customers to a very high standard.,service,positive
1449,The women on the phone which I've sadly forgetten her name was excellent so this review is really to reflect her as an employee above all else.,employee,positive
1450,Still very happy with my level of cover and the price which was significantly less than Halifax John Lewis and similar high-end insurers.,cover,positive
1451,Axa wouldnt quote for m&s for new car yet i could get it online for axa,axa,negative
1452,Recently had to make a claim and the whole process was very efficient and professional.,process,positive
1453,Very pleasant chap named Gordon  looked after me well.,chap,positive
1454,When I rang to enquire about car insurance I was greeted by a very pleasant and friendly advisor who explained everything to me in a simple way.,advisor,positive
1455,Good stuff; they responded quickly and settled quickly.Not so good stuff; in my case I was replacing a damaged carpet but felt coerced into buying it from the assessor that they sent who wanted to show me samples.,stuff,positive
1456,glad i could use phone service as i prefer to speak to a human staff were very helpful easy to understand and patient well done !!,service,positive
1457,all options clearly explained and differences between various choices transparent.,options,positive
1458,Easy quotes online also for managing options.,options,positive
1459,AXA were the best value for money and came in at half the current insurers value (which was more than we had paid for the car!),value,positive
1460,Looking for a quote for my Audi TT Axa had an amazing price and the process to purchasing the insurance was quick and simple.,insurance,positive
1461,I had to phone your customer services and they could t help either so then put through to other departments.,customer services,negative
1462,I have purchased car insurance for the first time with Axa and I would recommend it to friends and family.,time,positive
1463,It kept telling me my policy number was wrong and that even after getting a friend to renter the passwords they were still wrong.,policy number,negative
1464,As a non computer person l found the process quite strait foward.,process,positive
1465,Great deal completed in no time at all with a knowledgeable and friendly advisor.,advisor,positive
1466,Great website that provided all the information I required,information,positive
1467,Excellent service well presented and very easy to understand and all done very professional would definitely recommend you to other people and definitely use your company again in the future,service,positive
1468,Very good service sensible price helpful advisor.,service,positive
1469,Insurance to fit my requirements at a great price.,price,positive
1470,I have never before had so great customer service I will definatley be telling my friends.,customer service,positive
1471,Overall been a very disappointing service from Axa.,service,negative
1472,Lowest price in the price compare.,price,negative
1473,using a mobile device i followed link from price comparison website to the AXA website site which was really well designed for mobile - simple intuitive clear and quick.,website,positive
1474,easy online process and if you have a problem online their telephone operators are terrific- really efficient and helpful,operators,positive
1475,Very helpful staff and online application process.,application process,positive
1476,Mr Byers from customer service was very helpful and made the whole process much easier.,process,positive
1477,fairly good capability to tailor the product to your need; price remain competitive with the other market players; details about what is included or not included is quite clear; Overall satisfy in selecting and buying the product.,market,positive
1478,Excellent price and clear website!,website,positive
1479,I've paid additional money for AXA's mistake which doesn't sit comfortably with me.,money,negative
1480,While it is easy to select and adapt the insurance you want I really don't like the fact your policy documents are not sent to you and instead can only be accessed by an AXA account.,policy,negative
1481,Good price good cover easy website...,cover,positive
1482,As a new customer enquiring about a new car policy the member of staff I spoke to was friendly and was happy to review my policy with me over the phone and make adjustments were necessary.,member,positive
1483,An error message kept appearing with no explanation as how to fix it.,explanation,negative
1484,Quick easy and great price with a decent excess.,price,positive
1485,As a completed novice at these tabletsI found it not to ease but I got there in the endI was quite surprised at the resultI will be useing axa again.,axa,positive
1486,Otherwise clear website and sensible follow up emails from AXA to confirm policy.,website,positive
1487,great no trouble getting what i wanted but trouble with the on line service will have to call during the week will not let m sign keeps saying i have an account when i do not.,line service,negative
1488,I did not receive full settlement which makes the insurance I took out useless.,settlement,negative
1489,Really quick and easy service good quote too!!,service,positive
1490,Clear easy instructions on sending proof of no claims.,proof,positive
1491,I am amazed how cheap my quote for Building and content cover is with AXA this year.,quote,positive
1492,Useful to note that AXA's car insurance includes a basic courtesy car as standard (think it was a 1 litre car for 14 days) but you have the option of paying for an upgrade to a courtesy car that matches the spec of your insured car.,car insurance,positive
1493,Much cheaper than previous insurance for the same cover!,cover,positive
1494,A good price and a great service highly satisfied,service,positive
1495,Paid for our own water leak test and leak was identified.,test,negative
1496,Good easy process with option to tailor make policy all done on my I phone .,process,positive
1497,I replaced RBS building and contents insurance like for like with an axa policy and saved Â£210 on the annual premium.,axa policy,positive
1498,Very easy to use website kept to original quote with no late addition coats added as other insurers did on my search for insurance easy to obtain my insurance no 40 minute phone call required all done online and was insured ready to go in about 10 minutes from start to finish,website,positive
1499,no info about breakdown cover tel no etc.,breakdown,negative
1500,Website too me straight to online policy docs but no email in Inbox promo or spam folders.,docs,positive
1501,Superb customer service a very helpful and polite sales rep was able to answer all my questions and find the product that most suited my needs.,questions,positive
1502,Policy was easy to set up online and took no time at all medical conditions were easy to understand and declare and also liked receiving a text to advice me of my policy number and emergency number.,policy number,positive
1503,Very competitive quote (Â£70 cheaper than my current insurer Saga,quote,positive
1504,Clear info on website and excellent price for insurance,website,positive
1505,Easy to use cheapest quote by far no need for sending photocopies of licence etc highly recommend,quote,positive
1506,I would buy from Axa again.The 2 month  upfront payment is a bit confusing but everything else is crystal clear.,payment,positive
1507,easy to use and didn't have any problems insuring my car - another site i tried didn't recognise my reg no.,car,negative
1508,Rob checked online application took payment with mo further problems,application,positive
1509,Excellent service our claim was dealt with quickly with no issues filed claim in line and contacted next day to sort.,service,positive
1510,Although the service was good the operative on the phone was speaking so fast I sometimes had trouble understanding what\nHe was sayingsorry but getting older means sometimes we need clearer diction.,service,positive
1511,Very easy to use website great quote and swift service.,quote,positive
1512,I thought the online process was quick and gave me good value for money.,process,positive
1513,It took me two hours to get all the necessary information together but I was pleased with the final price of my policy.,price,positive
1514,Called back the next morning and got the out of hours service and left my information with someone who said they would pass on to Axa.,service,positive
1515,An easy straightforward purchase of car insurance at a reasonable price.,price,positive
1516,very cheap Â£100 cheaper than last yeah and web site was vey clear to use,site,positive
1517,We just had a Motor Insurance quote which was by far the lowest value for money the process was easy and very quick would definately buy from them again,value,positive
1518,excellent competitive premium and easy web site.,web site,positive
1519,I have used lots of travel ins providers in the past and the AXA site has to be one of the easiest and best to use.,providers,positive
1520,Good service good price.,service,positive
1521,The email address is a complete waste of time as delivery failed on at least 4 occasions that I tried.,mail address,negative
1522,Overall the web site is good and I expect it is my advanced years that makes all the decisions rather complicated Anyway I got there in the  end,web site,positive
1523,First class service friendly with good communication.,communication,positive
1524,but this time i couldnt log-on using this password & same email address which then got me bogged down trying to complete the new transaction almost to the point of giving up & moving on to another insurer.,password,negative
1525,I had no problems with the old policy but had no claims either!,problems,positive
1526,Competitively priced car insurance at less than half the price of some quotes despite excellent levels of cover.,levels,positive
1527,as a former it consultant involved in web site usability and performance this is a pet-hate so i don't normally get the opportunity to leave praise.,pet - hate,negative
1528,I obtained a great price for buildings and contents and will spend less than half of what my renewal premium was by moving to Axa.,price,positive
1529,The frustration when this was not the case meant I phoned the sales line who quickly and easily sorted a great quote immediate cover and took a secure payment.,payment,positive
1530,Both times the customer service staff were very helpful.,staff,positive
1531,on the second trip our return flight got cancelled and when we called for claim they said they haven't/couldn't upgrade our cover mid tenure and it was still basic which meant we were still not covered.,return flight,negative
1532,Started chatting to lady asking her prices and she said she had no idea and to phone insurance so it was very confusing as we had phoned the insurance!,prices,negative
1533,i found the website easy to use the additional extras clear and easy to add and having the price clear at the top of the page is a handy tool.,website,positive
1534,I think it is great I can managed my car insurance online without calling different insurance company.,insurance company,positive
1535,Call taker was very knowledgable and managed to lower the price of the quote without me requesting it.,price,positive
1536,Saved me money and we're really helpful and suggested further ways I could bring the premium down,premium,positive
1537,Quick and easy good cover at a good price,cover,positive
1538,took ages for programs to allow us to make payment,payment,negative
1539,Excellent hassle free service,service,positive
1540,Lots of information and help contact numbers throughout the quote would use again,numbers,positive
1541,i didn't go for the cheapest but the worst value for money with a good name behind it.,value,negative
1542,I would recommend this company but as it is the first time I have insured with them will reserve judgement on whether I would buy from them again would depend on price and what it covered.,company,positive
1543,very easy web page to navigate and low quotes and good customer service when phoning,service,positive
1544,half the time i hadn't a clue what he was saying.,clue,negative
1545,The web site is very clear and guides you through the process of obtaining a quote and purchasing insurance.,insurance,positive
1546,\nAXA had a refreshing attitude to customer service,customer service,positive
1547,Easy to use website and helpful staff,website,positive
1548,Had cause to call to ask a question and was very impressed with the service.,cause,positive
1549,Purchased travel ins great price and cover.,cover,positive
1550,The call handler -Matthew was very professional kind patient and fully explained everything,call handler,positive
1551,Pleased with the person I spoke too answered all my questions good prices quoted.,prices,positive
1552,Delay processing NCD this time,processing,negative
1553,Straightforward renewal of car insurance after consulting Moneysupermarket .,car insurance,positive
1554,Other insurance companys tend to add on extra premiums to cover them making the price shoot up.,insurance companys,negative
1555,Very pleased with the service provided on line concerning my new car insurance policy I've saved over Â£200 thankyou one happy customer,insurance policy,positive
1556,I would definitely recommend the company to my friends it was a friend of mine that told me to try your website,website,positive
1557,Difficulty with online purchase.,online,negative
1558,I don't appreciate the service provided as I haven't received my insurance summary after payment and when going back to my account I couldn't find my quote tried calling but as a service you don't provide for emergencies,insurance,negative
1559,Easy to use website and saved money on my insurance!,website,positive
1560,Very good service David was very pleasant and well practiced in his job we got though the process with minimal time and effort 10 out of 10 .,job,positive
1561,I had paid for insurance then found out I had to produce proof of no clai m discount witch I have never done on other companies.,discount,negative
1562,Tanya provided the best car insurance customer service I have experienced.,service,positive
1563,Friendly and professional with clear advice and competitive prices,advice,positive
1564,Because of problem I cancelled the policy.,problem,negative
1565,I was delighted to find my claim approved so easily and the whole experience was much less stressful than I had feared,claim,positive
1566,\nAs I needed more information I've then called the customer service they found my quote straight away thanks to the quote's reference number displayed on the website.,website,positive
1567,I was treated with respect and all and any questions answered quickly and explained until I was sure I understood which was a pleasant change to the usual now adays where phone conversations to this type of organisation is just listening to someone rattling off facts and figures you don't quite catch.,facts,positive
1568,From ease of use on the website to friendly and helpful staff over the phone I would recommend axa to anyone !!,axa,positive
1569,Clear website speedy operation and excellent follow up.,operation,positive
1570,Got the cover For a good price and arrangement on line was really good.,cover,positive
1571,It was done completely online so there was no human interaction however the way that the questions were asked were clear and easy to follow.,questions,positive
1572,great slow and fully understud explanationnice and polite service without any preasure on the custumer,service,positive
1573,Also cost of my  car insurance was approximately half the amount of the renewal notice I had received from my old insurance company.,company,positive
1574,Hi was the quickest easiest insurance process i have done thank you axa.,axa,positive
1575,Very good price for insurance  great to talk to a human who was happy in there work will recommend to anyone .,price,positive
1576,Very helpful on the phone I needed insurance that covered pregnancy.,phone,positive
1577,Quickly and efficiently gave me a quote of a hundred pounds cheaper than my renewal quote despite me having some complications to my insurance needs.,complications,negative
1578,great service excellent pricing easy to understand the website,service,positive
1579,email and password\ and completed the details requested and i was told that an email will be sent with a link to reset the password but no email at all after half hour.,email,negative
1580,12/07/16 = Unfortunately I found the experience frustrating.,experience,negative
1581,Easy to use website from mobile phone.,website,positive
1582,Find their website very clear and clean I feel that there brand has high quality and that they are very trustworthy.,brand,positive
1583,Quote for home contents and buildings insurance via moneysupermarket.com gave one of the best prices.,insurance,positive
1584,I found it extremely difficult to logon to get my policy details.,policy,negative
1585,We found this was so easy to set up online we also had to phone axa  to ask some advice which was very quickly resolved excellent service would recommend axa insurance and was a good price very happy,service,positive
1586,Received excellent service today quote was explained very clearly on the phone and dealt with in a very professional way  keep up the good work,service,positive
1587,Great value and made some savings compared to my previous insurer.,insurer,negative
1588,and they have always provided great customer service and have good support staff willing to help.,customer service,positive
1589,A little waiting time... but worth it when you receive a great friendly service with all the information you could possibly need and a very competitive price!,service,positive
1590,exellent service would use axa and will recomend them,service,positive
1591,Used AXA for the first time by telephone and found the salesman (Anthony) exceptionally helpful.,time,positive
1592,Quick transaction  reasonable price and fair service and extra services that most other insurers don't offer.,price,positive
1593,No stupid questions that have nothing to do with your car or insurance.,car,negative
1594,The Â£25 cancellation fee was not justified  it was just stated as 'Admin' and I was referred to the terms and conditions which state no reason for the admin fee.,terms and conditions,negative
1595,\n\nThe customer service and online set up provided by Axa is second to none; I've even had their advisors save me admin charges by suggesting I make policy changes online instead of over the phone.,policy,positive
1596,Last year I paid £20.00 extra with no accidental damage cover this year I have saved £20.00 and have accidental cover included what's not to like.,cover,negative
1597,Really helpful and a responsible price good customer service as well as good deals.,price,positive
1598,site easy to use excellent price,price,positive
1599,It was a very easy to use website to buy home insurance I can only hope it will be just as easy if I ever have to make a claim!,home insurance,positive
1600,lied about the no claims discount policy then charged over £220 extra said they would accept it then said no!!!!,claims,negative
1601,Sadly the computer system was playing up meaning that Karen was unable to process a payment directly in to my bank account.,system,positive
1602,Asked about a claim when we rang about insurance  we did not make one we explained and i still keep getting e-mails asking about it there's nothing to say  what's wrong with them .,claim,negative
1603,The price given for my house and contents insurance was very competitive with other insurers quoted on comparison web sites but a massive eighty pounds cheaper than my existing insurer.,web sites,positive
1604,Product tailored to suit my requirements.,requirements,positive
1605,Dealing with the claim / informing of my damage was easy and no problem at all.,claim,negative
1606,Excellent service and offers great value for the services.,service,positive
1607,Great service fast and easy to apply for the insurance also a great price,price,positive
1608,The process when obtaining an insurance quote is as seamless as I have encountered.,process,positive
1609,axa were to telephone me next day to correct this anomaly but to date they have not telephoned.,day,negative
1610,I'd had the Devils own time with my previous provider and it was nice to speak to a calm voice who went over everything and explained that if I had a problem I could call back and speak to him and he would either guide me or explain what was needed.,voice,positive
1611,I found the site easy to navigate and customer service very helpful.,customer service,positive
1612,taking out insurance was quick easy clearly explained regarding what's covered and what's not reasonably priced but not the cheapest and everything went well including payment until it came to registering my details relating to email and password.,email and password,negative
1613,Easy to follow questionnaire and good explanations included in the information sections.,information,positive
1614,cannot get in to print out policy whats the point on having an account of you can not do anything,policy,negative
1615,Excellent website so easy to use and great competitive value!,website,positive
1616,I have received my policy info and documents but no information about the breakdown cover I have subscribed to!,policy,negative
1617,Straightforward process and reasonable price/value but would have liked to have seen a summary of all the information provided by compare the market and how that fed into the policy I was given (for example I specified \ other\  lock type and non-monitored alarm fitted to the property but don't see how that has been reflected in my policy... or maybe you don't care about those things with your policy),care,negative
1618,Nice easy process makes the annual insurance chore a more pleasant experience.,experience,positive
1619,Efficient to the point no undue delays... \n\nAll in all a great customer experience.,customer,positive
1620,I have rated AXA poor as I am unable to print your documentation,documentation,negative
1621,This website was very easy to use compared to other insurance sites I got a quote on and was also the cheapest quote I received,insurance site,positive
1622,Easy to follow website and very good price.,website,positive
1623,easy format to use and good value.I have used this company over 3 years now and on present evidence will continue to do so in the near future.,company,positive
1624,was all a bit confusing and i don't really understand why it rejected me the first time.,bit,negative
1625,The lady was really helpful gave all information needed.,information,positive
1626,Took far to long to get out to look at the damage and then to be told I can't claim.,look,negative
1627,After having gone through a very bad customer service experience with another supplier I have found my introduction to AXA insurance  has been very pleasant so far.,service,positive
1628,Prompt service but did chsrge for updating an old policy but to their credit they refunded when questioned,policy,positive
1629,Only health problems have meant I have had to return to car ownership.,return,negative
1630,\n\nThe most recent changes to your website bundling customer choices into three general sections with follow-up yes/no options made the whole process easy and efficient.,process,positive
1631,after the incident was reported i was surprised and disappointed with the service as i was not kept informed at any point through the process.,process,negative
1632,didn't know passwrord was out of date after 30 days.,days,negative
1633,Slight problems with the website not very clear about the options.,website,negative
1634,Tried to phone your 0844 no but did not get through not very impressed with this no costing a lot to listen to all messages,messages,negative
1635,Not the cheapest but easy to use web site good price and options.,options,positive
1636,Efficient and customer service representatives are a pleasure to communicate with.,service rep,positive
1637,Found the web site very easy to use and gave comprehensive information and advice.,web site,positive
1638,Really nice experience and great to see the policy documents immediately with my name on them.,experience,positive
1639,Purchasing the car insurance was quick and simple but it took longer to provide the proof of No Claims.,proof,negative
1640,quite hard to contact about a query phone numbers hidden and online portal seems to be dodgy or down!!!,online,negative
1641,I can see who to contact in case of emergency and more or less what to expect from them.,contact,negative
1642,Paid the full amount by mistake and had to search for another quote before Axa refunded the amount.,search,negative
1643,The service was superb as promised I was contacted and given the exact quote which was over half cheaper than I was quoted from my original supplier all questions were answered and no pressure applied to buy additional products all-in-all a highly recoomended supplier of car insurance......,insurance,positive
1644,Website registration is very poor it took me about one hour to set up.,registration,negative
1645,Using the website to purchase car insurance was very straight forward,car insurance,positive
1646,Easy straight forward but as the old saying goes you find out how good an insurance company is when you come to claim,insurance,positive
1647,Best price and good service\n\nDifficult to recover my quote of 17/9/16.,price,positive
1648,\nThey were able to link up with my previous insurers so I did not need to post proof of No Claims.,link,positive
1649,Axa staff member CC made efforts to resolve an issue that others had been unable to resolve.,staff member,positive
1650,It happened to be the cheapest on the comparison website but we also had no need to pay for extras.,website,negative
1651,Good value insurance with excellent cover,insurance,positive
1652,having just taken out comprehensive car cover I think it would be nice to receive a addressed envelope like other firms do to send off our no claims proof.... and paper documents instead of e-documents.,car cover,positive
1653,Great service from John\nVery helpful and process was easy - I haven't changed insurer for over 30 years,insurer,positive
1654,Slightly dearer than previous company used but more things included in the policy,company,negative
1655,Excellent price and a good service.,service,positive
1656,The advisor was helpful and friendly and helped me to get an even better policy I was amazed at how much cheaper AXA was.,advisor,positive
1657,twice given wrong telephone nos which were not recognised by bt.the no.,telephone,negative
1658,I had real problems trying to find a reference for my quote on the actual document.,problems,negative
1659,The process was simple and the price competitive.,price,positive
1660,Fantastic service at even better price!!!,service,positive
1661,would recommend the company - excellent service.,service,positive
1662,And the knowledge and professional manner of the customer service team is excellent.,service team,positive
1663,I found the site very  informative  and easy to use ... I have halfed  my cover and got a better deal that now includes  the insurance  I thought I had with my previous  provider....,site,positive
1664,The site was easy to use and the quote very competitive.,quote,positive
1665,Being elderly and not very computer literate I had to resort to a telephone call for assistance and had every query politely and cheerily answered most helpfully by a delightful girl named Debbie.,query,positive
1666,Found the web site very easy to use the price quoted was amazing in comparison with the other big insurers.,site,positive
1667,Loads cheaper than my usual insurer with exactly the same cover.,cover,positive
1668,Why do we have to be penalised for a non claim accident,accident,negative
1669,Product clearly explained and excellent value for money.,value,positive
1670,Very competitive with regards to the price however cannot comment about the service due to not having any dealings (and touch wood will not need to),dealings,positive
1671,hope when it comes to renewal they don't try and rip me off like other companies,companies,negative
1672,I chose AXA as they gave me excellent service when my daughter was ill in India and I was her in UK .,service,positive
1673,Easy system to use the process of specifying levels of cover and obtaining a quotation was very straightforward and the price quoted was competitive.,levels,positive
1674,I received great service today from Chris at Axa she was patient attentive and very well informed about what she was doing.,service,positive
1675,The person I spoke to on the phone was very friendly and helpful and I would recommend Axa to my friends and relatives.,friends,positive
1676,Although the overall service was good there were far too many 'hand offs' across the process which added to my frustration in trying to get this settled asap.,process,positive
1677,Disappointed about the jump in price within 1 day,day,negative
1678,Straightforward with a good price from a reputable company\nCouldn't ask for more,price,positive
1679,Although your service was excellent and easy to apply for car insurance quote I feel that you should confirm no claims discount before accepting payment in case it needs to be cancelled if the no claims is found to be incorrect,service,positive
1680,Great service great price easy to use online account.,price,positive
1681,An efficient knowledgeable and friendly customer service staff member based in the UK always makes a company nice to deal with.,staff,positive
1682,the insurance itself is good good price easy to book and i like that it tells you exactly what countries are covered by europe because not all insurers do this and it can be a worry.,europe,negative
1683,Very difficult to Enter password,password,negative
1684,on line couldn't  have been better,line,negative
1685,Easy site to follow & a fairly reasonable car insurance quote made a decision easier.,quote,positive
1686,Policy options well presented and met my requirements.,options,positive
1687,Spent 1 hour 15 mins on phone trying to add an additional car and get no claims bonus mirrored on both policies.,claims bonus,negative
1688,Not being very good on my pc I found the forms easy to fill in and understandThanks AXA.,pc,positive
1689,Great service and help with advice explained everything I needed to know grest value.,value,positive
1690,The person who dealt with my problem was a credit to your company she new her stuff and was efficient plus extremely polite.,stuff,positive
1691,Very good rates helpful team and staff very simple and fast to get my insurance.,rates,positive
1692,Good value and easy to complete transaction,transaction,positive
1693,First experience with AXA a very pleasant one had a bit of difficulty on the site.,experience,positive
1694,on line wouldn't allow card payment.,card payment,negative
1695,Service is good - Good Policy and easy to navigate website however cannot log onto my account - and the find your password doesn't work - will have to phone AXA to sort - Inconvenient,website,positive
1696,Too early to judge the policy and aftercare but if its all as pleasant as the sales services and staff then good news,sales service,positive
1697,I regret leaving LV insurance for what I thought was a better deal with Axa  and as this insurance policy is finished I'll be going back to LV insurance.,insurance,negative
1698,2 minutes listening to required 'safety notices' and going round the system before speaking to a human who was very good patient and gave me the impression she knew what she was talking about.,impression,positive
1699,Good service quick transaction,service,positive
1700,Customer service was great now I know what AXA has 5 stars.,service,positive
1701,staff very helpful I would recommend the company for any other business yes I would buy again from axa,axa,positive
1702,I very much liked the fact that you were clearly told you would be placed on an automatic renewal.,renewal,positive
1703,\nThe cover and cost are very good but please don't scare customers with the admin fee message and change the Q&A to show there may be changes the customer can't amend.,changes,positive
1704,It is only when you have to make a claim that you see how good or bad the insurance company are and in this case AXA were EXCELLENT.,insurance company,positive
1705,Great level of cover at a very reasonable price Good telephone service and friendly staff.,telephone service,positive
1706,Best experience I have ever had trying to get insurance.,experience,positive
1707,Good prices and easy to use website,prices,positive
1708,They still every day request by email - a little annoying.,day,negative
1709,It was very straight forward and easy to use AXA's services and also very user friendly with menu/option layouts.,services,positive
1710,The pricing was clear and it was easy to see the impact of changing excesses on the policy.,pricing,positive
1711,\n\nBest price by far for my 4x4 even better than comparison sites specialist insurers and my current insurer.,insurers,positive
1712,julie the person i dealt with was very friendly helpfull and spoke very clear,julie,positive
1713,Very helpful customer service administrator and a better deal than the previous one I looked at.,customer service,positive
1714,quick and user friendly website,website,positive
1715,and it would be free on the net and this should not affect my insurance but when i've put made these minor changes i'm told i will be charged a premium of around 43 pounds on top of my insurance.,net,negative
1716,price was competitive but right at point of paying I find out there is a 2% surcharge for using my credit card.,credit card,positive
1717,She ensured that the whole process was trouble free and concluded very promptly.,trouble,positive
1718,the sales assistant could not have been more helpfull\n\nwilma gilmour,sales assistant,positive
1719,Easy to do online had to call in the talk about my No claims Bonus and the lady who I spoke to was very helpful and friendly thank you hope it stays this way,online,positive
1720,the web page inviting me to register would not take my password so that i was unable to access my documents.,documents,negative
1721,Easy and clear website plus low prices Big Tick!,prices,positive
1722,\nThe operative had a lot of information to deliver which he did in a polite and friendly manner although he had probably been doing it all day!,operative,positive
1723,when i updated my account to my new address my premiums went up by â£4 per month to â£22 i was not happy.,premiums,negative
1724,Gratifyingly straightforward response to a telephoned request for a change of my newly purchased policy.....on the evidence so far I'd recommend Axa for car cover.,cover,positive
1725,Purchasing car insurance simple to understand and quick to produce documentation .,documentation,positive
1726,he was very good at his job .,job,negative
1727,Clear instructions given from very professional sales advisor.,advisor,positive
1728,though it doesn't mention it the maximum number of characters is 15.,characters,negative
1729,By far the best and easiest time I've ever bought car insurance.,time,positive
1730,The process is very boring and long winded.,process,negative
1731,would certainly recommend axa insurance  were very helpful in setting up my new car insurance to include the extras i wanted.,axa insurance,positive
1732,An excellent service although had trouble understanding the accent sometimes,accent,positive
1733,Great service I was having problems with the website I phoned up got me a new quote which was cheaper the guy I spoke to was ever so helpful and explained everything I needed to know.,service,positive
1734,Booked on mobile phone web site very easy to use very well laid out took only matter of minutes to do was given 3 options prices also competitive,web site,positive
1735,Great price and great service.,price,positive
1736,Efficient delivery of service within tedious requirements of FCA,delivery,positive
1737,However It was not processed on the day despite receiving a confirmation of renewal email at the time that I renewed it - I have a screen shot on my phone as proof that I renewed.,confirmation,positive
1738,Called today and the gentleman on the line was clear prompt and did exactly what I needed him to do.,gentleman,positive
1739,They checked with my old insurance company straight away for how many years I had a No Claims Bonus and they got back to me within 5 minutes.,minutes,positive
1740,I did my quote online I rang u thinking I was only ringing to pay I didn't expect to be on the phone for 20 minutes????,quote,negative
1741,I originally got quote using money supermarket but purchased after contacting Axa via telephone the customer service person was Chris Clarke who was very helpful.,customer service,positive
1742,First time insured on the internet what a helpful site,time,positive
1743,Not only is their customer service great but most importantly their prices are very competitive!,service,positive
1744,New documents received very quickly to download or print if required.,documents,positive
1745,Having already got car insurance it was very easy to create a house insurance quote on the website.,house insurance,positive
1746,Having just taken out home insurance with you  I have spent  t over an hour trying to access my account to download my poicy but to no avail your system will not accept any of my details even though I have r3cieved an email confirming my purshase have tried ringing but the low cost number you give out does not exist totally frustrated,email,negative
1747,I couldn't purchase my insurance I called customer services regarding printing certificate and information about my no claims how to forward it on.,insurance,negative
1748,easy to understand online quote process good prices and options for extra cover.,process,positive
1749,Easy to use website did it all from my iPhone and had no issues,issues,positive
1750,I did get a little frustrated trying to find a contact number so i could speak to someone.,number,negative
1751,Even before the insurance kicked in you are confronted by sheer stupidity.,insurance,negative
1752,Helpful sorting out house insurance but I was not impressed with car insurance quote do went elsewhere.,quote,negative
1753,"well i can only comment on the quote via the internet , which was simple and straight forward to use , i did have difficulty with registering and the password reset email never came but that could be an internet issue,",use,negative
1754,Its time wasting and makes the caller \ switch off\ .,switch,negative
1755,Alan was very helpfull Great customer service would recomend,service,positive
1756,a few glitches along the way but could be due to my equipment and my lack of computer expertise !,computer,negative
1757,AXA PPP came up as the most competitive price and all the cover was competitive with other insurers.,price,positive
1758,Good value for money quote website very easy to navigate.,website,positive
1759,easy to use and very competitive prices best value I could find,value,positive
1760,could find nowhere to register a password had to pretend to have forgotten to be able to do so.,password,negative
1761,Brilliant service from your phone representative who clearly explained the policy to me for those part I didn't fully understand.,service,positive
1762,Obtaining a quote and purchasing the vehicle insurance online was a simple and quick task.,quote,positive
1763,The adviser on the phone talked me through adjusting options such as reducing voluntary excess from Â£500 to Â£300 to reduce my premium and buying the AXA policy proper rather than the swift cover policy (although this was also AXA).,adviser,positive
1764,Very good sales agent knowledgeable good manner.....would highly recommend,agent,positive
1765,Very helpful operator sale cleared up in minutes.Hope similar service can be maintained next year.,service,positive
1766,I took out the car insurance on-line via 'Compare the Market com'.,insurance,positive
1767,I was very disappointed with the service I received from AXA.,service,negative
1768,Sales person helpful  but the on line service is time consuming for me confusing and while I have down loaded certificate and registered your site persists in not regognising me  and I have not been able to fiund any policy conditions.,service,positive
1769,quick and easy to do quote...simple looks like good service and also good value of money,service,positive
